"LOCATION","Country","SEX","Sex","AGE","Age","VAR","Variant","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1979","1979","PER","Persons","3","Thousands",,,9848.379,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1980","1980","PER","Persons","3","Thousands",,,9859.237,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1981","1981","PER","Persons","3","Thousands",,,9858.976,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1982","1982","PER","Persons","3","Thousands",,,9856.3,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1983","1983","PER","Persons","3","Thousands",,,9855.514,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1984","1984","PER","Persons","3","Thousands",,,9855.365,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1985","1985","PER","Persons","3","Thousands",,,9858.305,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1986","1986","PER","Persons","3","Thousands",,,9861.82,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1987","1987","PER","Persons","3","Thousands",,,9870.229,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1988","1988","PER","Persons","3","Thousands",,,9901.661,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1989","1989","PER","Persons","3","Thousands",,,9937.693,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1990","1990","PER","Persons","3","Thousands",,,9967.373,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1991","1991","PER","Persons","3","Thousands",,,10004.48,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1992","1992","PER","Persons","3","Thousands",,,10045.15,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1993","1993","PER","Persons","3","Thousands",,,10084.47,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1994","1994","PER","Persons","3","Thousands",,,10115.6,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1995","1995","PER","Persons","3","Thousands",,,10136.81,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1996","1996","PER","Persons","3","Thousands",,,10156.63,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1997","1997","PER","Persons","3","Thousands",,,10181.24,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1998","1998","PER","Persons","3","Thousands",,,10203,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1999","1999","PER","Persons","3","Thousands",,,10226.41,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2000","2000","PER","Persons","3","Thousands",,,10251.25,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2001","2001","PER","Persons","3","Thousands",,,10286.57,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2002","2002","PER","Persons","3","Thousands",,,10332.78,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2003","2003","PER","Persons","3","Thousands",,,10376.13,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2004","2004","PER","Persons","3","Thousands",,,10421.13,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2005","2005","PER","Persons","3","Thousands",,,10478.61,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2006","2006","PER","Persons","3","Thousands",,,10547.95,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2007","2007","PER","Persons","3","Thousands",,,10625.7,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2008","2008","PER","Persons","3","Thousands",,,10709.97,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2009","2009","PER","Persons","3","Thousands",,,10796.49,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2010","2010","PER","Persons","3","Thousands",,,10920.27,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2011","2011","PER","Persons","3","Thousands",,,11047.74,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2012","2012","PER","Persons","3","Thousands",,,11128.24,"B","Break"
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2013","2013","PER","Persons","3","Thousands",,,11196.04,"B","Break"
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2014","2014","PER","Persons","3","Thousands",,,11283.68,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2015","2015","PER","Persons","3","Thousands",,,11369.21,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2016","2016","PER","Persons","3","Thousands",,,11452.41,,
"BEL","Belgium","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2017","2017","PER","Persons","3","Thousands",,,11533.04,,
