,index,Country,Year,GHG
601,20083,Australia,2011,220522.516
602,20084,Australia,2012,222276.409
603,20085,Australia,2013,210976.235
604,20086,Australia,2014,204798.675
605,20087,Australia,2015,211563.306
606,20088,Australia,2016,218948.217
607,20089,Australia,2017,218204.986
608,20090,Australia,2018,213835.413
609,23501,Australia,1990,106.584
610,23502,Australia,1991,106.521
611,23503,Australia,1992,106.035
612,23504,Australia,1993,102.93
613,23505,Australia,1994,100.116
614,23506,Australia,1995,98.68
615,23507,Australia,1996,98.849
616,23508,Australia,1997,101.285
617,23509,Australia,1998,100.389
618,23510,Australia,1999,96.85
619,23511,Australia,2000,100.0
620,23512,Australia,2001,98.8
621,23513,Australia,2002,97.265
622,23514,Australia,2003,92.6
623,23515,Australia,2004,94.431
624,23516,Australia,2005,95.895
625,23517,Australia,2006,95.411
626,23518,Australia,2007,95.172
627,23519,Australia,2008,93.706
628,23520,Australia,2009,92.879
629,23521,Australia,2010,91.054
630,23522,Australia,2011,92.785
631,23523,Australia,2012,92.466
632,23524,Australia,2013,91.876
633,23525,Australia,2014,90.036
634,23526,Australia,2015,90.291
635,23527,Australia,2016,90.724
636,23528,Australia,2017,92.692
637,23529,Australia,2018,93.859
638,24805,Australia,1990,86.845
639,24806,Australia,1991,87.053
640,24807,Australia,1992,87.912
641,24808,Australia,1993,87.993
642,24809,Australia,1994,88.001
643,24810,Australia,1995,89.707
644,24811,Australia,1996,91.276
645,24812,Australia,1997,93.761
646,24813,Australia,1998,96.578
647,24814,Australia,1999,97.717
648,24815,Australia,2000,100.0
649,24816,Australia,2001,101.555
650,24817,Australia,2002,102.336
651,24818,Australia,2003,102.642
652,24819,Australia,2004,106.323
653,24820,Australia,2005,107.527
654,24821,Australia,2006,108.463
655,24822,Australia,2007,109.709
656,24823,Australia,2008,110.482
657,24824,Australia,2009,111.221
658,24825,Australia,2010,110.462
659,24826,Australia,2011,110.858
660,24827,Australia,2012,111.312
661,24828,Australia,2013,109.325
662,24829,Australia,2014,108.386
663,24830,Australia,2015,110.063
664,24831,Australia,2016,112.156
665,24832,Australia,2017,113.74
666,24833,Australia,2018,114.033
667,25881,Australia,1990,88.273
668,25882,Australia,1991,88.273
669,25883,Australia,1992,82.604
670,25884,Australia,1993,113.378
671,25885,Australia,1994,63.654
672,25886,Australia,1995,62.209
673,25887,Australia,1996,25.662
674,25888,Australia,1997,43.696
675,25889,Australia,1998,61.854
676,25890,Australia,1999,85.166
677,25891,Australia,2000,100.0
678,25892,Australia,2001,142.948
679,25893,Australia,2002,181.288
680,25894,Australia,2003,221.747
681,25895,Australia,2004,264.39
682,25896,Australia,2005,309.969
683,25897,Australia,2006,320.127
684,25898,Australia,2007,375.859
685,25899,Australia,2008,424.979
686,25900,Australia,2009,502.435
687,25901,Australia,2010,537.327
688,25902,Australia,2011,566.3
689,25903,Australia,2012,561.099
690,25904,Australia,2013,610.904
691,25905,Australia,2014,667.854
692,25906,Australia,2015,730.834
693,25907,Australia,2016,742.243
694,25908,Australia,2017,724.057
695,25909,Australia,2018,742.406
696,27978,Australia,1990,79.506
697,27979,Australia,1991,79.919
698,27980,Australia,1992,81.358
699,27981,Australia,1993,82.593
700,27982,Australia,1994,83.957
701,27983,Australia,1995,87.211
702,27984,Australia,1996,89.196
703,27985,Australia,1997,91.605
704,27986,Australia,1998,95.571
705,27987,Australia,1999,98.249
706,27988,Australia,2000,100.0
707,27989,Australia,2001,102.134
708,27990,Australia,2002,103.431
709,27991,Australia,2003,105.577
710,27992,Australia,2004,109.426
711,27993,Australia,2005,110.371
712,27994,Australia,2006,112.132
713,27995,Australia,2007,114.177
714,27996,Australia,2008,115.483
715,27997,Australia,2009,116.353
716,27998,Australia,2010,115.793
717,27999,Australia,2011,115.414
718,28000,Australia,2012,116.08
719,28001,Australia,2013,113.635
720,28002,Australia,2014,112.542
721,28003,Australia,2015,114.666
722,28004,Australia,2016,117.372
723,28005,Australia,2017,118.533
724,28006,Australia,2018,118.778
725,28488,Australia,1990,103.829
726,28489,Australia,1991,112.67
727,28490,Australia,1992,121.506
728,28491,Australia,1993,130.336
729,28492,Australia,1994,139.157
730,28493,Australia,1995,148.858
731,28494,Australia,1996,136.093
732,28495,Australia,1997,125.584
733,28496,Australia,1998,113.078
734,28497,Australia,1999,99.464
735,28498,Australia,2000,100.0
736,28499,Australia,2001,102.998
737,28500,Australia,2002,105.964
738,28501,Australia,2003,107.856
739,28502,Australia,2004,108.585
740,28503,Australia,2005,92.369
741,28504,Australia,2006,87.592
742,28505,Australia,2007,82.441
743,28506,Australia,2008,76.885
744,28507,Australia,2009,69.197
745,28508,Australia,2010,67.197
746,28509,Australia,2011,66.275
747,28510,Australia,2012,69.434
748,28511,Australia,2013,66.767
749,28512,Australia,2014,73.046
750,28513,Australia,2015,80.469
751,28514,Australia,2016,87.704
752,28515,Australia,2017,89.44
753,28516,Australia,2018,107.582
754,30108,Australia,1990,357.948
755,30109,Australia,1991,358.238
756,30110,Australia,1992,357.658
757,30111,Australia,1993,257.604
758,30112,Australia,1994,168.168
759,30113,Australia,1995,118.94
760,30114,Australia,1996,109.583
761,30115,Australia,1997,95.423
762,30116,Australia,1998,129.016
763,30117,Australia,1999,88.501
764,30118,Australia,2000,100.0
765,30119,Australia,2001,140.0
766,30120,Australia,2002,134.23
767,30121,Australia,2003,130.839
768,30122,Australia,2004,133.16
769,30123,Australia,2005,139.209
770,30124,Australia,2006,53.382
771,30125,Australia,2007,45.272
772,30126,Australia,2008,34.537
773,30127,Australia,2009,27.858
774,30128,Australia,2010,22.013
775,30129,Australia,2011,23.41
776,30130,Australia,2012,22.911
777,30131,Australia,2013,14.918
778,30132,Australia,2014,14.959
779,30133,Australia,2015,13.311
780,30134,Australia,2016,17.476
781,30135,Australia,2017,15.743
782,30136,Australia,2018,18.337
783,30864,Australia,1990,82.3
784,30865,Australia,1991,80.341
785,30866,Australia,1992,79.355
786,30867,Australia,1993,81.777
787,30868,Australia,1994,84.25
788,30869,Australia,1995,80.477
789,30870,Australia,1996,87.012
790,30871,Australia,1997,91.124
791,30872,Australia,1998,92.39
792,30873,Australia,1999,94.947
793,30874,Australia,2000,100.0
794,30875,Australia,2001,101.652
795,30876,Australia,2002,104.369
796,30877,Australia,2003,98.212
797,30878,Australia,2004,106.877
798,30879,Australia,2005,107.372
799,30880,Australia,2006,107.008
800,30881,Australia,2007,98.92
801,30882,Australia,2008,100.336
802,30883,Australia,2009,102.338
803,30884,Australia,2010,101.782
804,30885,Australia,2011,105.743
805,30886,Australia,2012,107.513
806,30887,Australia,2013,101.474
807,30888,Australia,2014,103.772
808,30889,Australia,2015,100.989
809,30890,Australia,2016,101.034
810,30891,Australia,2017,109.808
811,30892,Australia,2018,103.864
812,31819,Australia,1990,617651.009
813,31820,Australia,1991,600167.617
814,31821,Australia,1992,541653.064
815,31822,Australia,1993,523798.085
816,31823,Australia,1994,513392.852
817,31824,Australia,1995,497942.114
818,31825,Australia,1996,506901.907
819,31826,Australia,1997,512169.147
820,31827,Australia,1998,506334.194
821,31828,Australia,1999,523390.825
822,31829,Australia,2000,545376.96
823,31830,Australia,2001,575947.687
824,31831,Australia,2002,567392.566
825,31832,Australia,2003,582724.352
826,31833,Australia,2004,586675.688
827,31834,Australia,2005,617215.606
828,31835,Australia,2006,614851.491
829,31836,Australia,2007,634603.301
830,31837,Australia,2008,623356.948
831,31838,Australia,2009,616191.519
832,31839,Australia,2010,593537.553
833,31840,Australia,2011,573028.919
834,31841,Australia,2012,555333.351
835,31842,Australia,2013,540628.001
836,31843,Australia,2014,539739.525
837,31844,Australia,2015,538821.138
838,31845,Australia,2016,526148.356
839,31846,Australia,2017,529486.519
840,31847,Australia,2018,537446.392
841,34997,Australia,1990,100.0
842,34998,Australia,1991,100.081
